date,market_id,market_name,mandi_id,district,target_price_t_plus_7,split,model,prediction,lower_bound_inr_qtl,upper_bound_inr_qtl,covered,interval_width_inr_qtl,confidence_level
2025-05-02,176,Solapur,maharashtra__solapur,solapur,750.0,validation,moving_average_7d,750.0,539.642857142857,1042.857142857143,True,503.2142857142859,0.9
2025-05-02,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,500.0,validation,moving_average_7d,746.4285714285714,536.0714285714284,1039.2857142857142,False,503.2142857142858,0.9
2025-05-02,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,1014.2857142857144,803.9285714285714,1307.1428571428573,True,503.2142857142859,0.9
2025-05-02,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1250.0,validation,moving_average_7d,1064.2857142857142,853.9285714285712,1357.142857142857,True,503.2142857142859,0.9
2025-05-02,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1100.0,validation,moving_average_7d,1128.571428571429,918.2142857142859,1421.4285714285718,True,503.2142857142859,0.9
2025-05-02,4751,Pune(Manjri),maharashtra__punemanjri,pune,1200.0,validation,moving_average_7d,1057.142857142857,846.7857142857141,1350.0,True,503.2142857142859,0.9
2025-05-02,4752,Pune(Moshi),maharashtra__punemoshi,pune,750.0,validation,moving_average_7d,857.1428571428571,646.7857142857141,1150.0,True,503.2142857142859,0.9
2025-05-03,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-05-03,168,Nasik,maharashtra__nasik,nashik,900.0,validation,moving_average_7d,792.8571428571429,582.4999999999999,1085.7142857142858,True,503.2142857142859,0.9
2025-05-03,169,Lasalgaon,maharashtra__lasalgaon,nashik,1151.0,validation,moving_average_7d,1200.0,989.642857142857,1492.857142857143,True,503.2142857142859,0.9
2025-05-03,170,Pimpalgaon,maharashtra__pimpalgaon,nashik,1100.0,validation,moving_average_7d,1178.571428571429,968.2142857142859,1471.4285714285718,True,503.2142857142859,0.9
2025-05-03,172,Pune,maharashtra__pune,pune,900.0,validation,moving_average_7d,957.1428571428572,746.7857142857142,1250.0,True,503.2142857142858,0.9
2025-05-03,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,728.5714285714286,518.2142857142856,1021.4285714285714,True,503.2142857142859,0.9
2025-05-03,575,Manmad,maharashtra__manmad,nashik,1100.0,validation,moving_average_7d,1107.142857142857,896.7857142857141,1400.0,True,503.2142857142859,0.9
2025-05-03,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,675.0,validation,moving_average_7d,742.8571428571429,532.4999999999999,1035.7142857142858,True,503.2142857142859,0.9
2025-05-03,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,True,503.2142857142859,0.9
2025-05-03,2484,Lasalgaon(Niphad),maharashtra__lasalgaonniphad,nashik,1100.0,validation,moving_average_7d,1167.857142857143,957.4999999999999,1460.7142857142858,True,503.2142857142859,0.9
2025-05-03,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1250.0,validation,moving_average_7d,1042.857142857143,832.4999999999999,1335.7142857142858,True,503.2142857142859,0.9
2025-05-03,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1100.0,validation,moving_average_7d,1114.2857142857142,903.9285714285712,1407.142857142857,True,503.2142857142859,0.9
2025-05-03,4751,Pune(Manjri),maharashtra__punemanjri,pune,950.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,True,503.2142857142859,0.9
2025-05-03,4752,Pune(Moshi),maharashtra__punemoshi,pune,950.0,validation,moving_average_7d,842.8571428571429,632.4999999999999,1135.7142857142858,True,503.2142857142859,0.9
2025-05-04,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-05-04,168,Nasik,maharashtra__nasik,nashik,900.0,validation,moving_average_7d,757.1428571428571,546.7857142857141,1050.0,True,503.2142857142859,0.9
2025-05-04,169,Lasalgaon,maharashtra__lasalgaon,nashik,1151.0,validation,moving_average_7d,1192.857142857143,982.4999999999999,1485.7142857142858,True,503.2142857142859,0.9
2025-05-04,170,Pimpalgaon,maharashtra__pimpalgaon,nashik,1100.0,validation,moving_average_7d,1171.428571428571,961.0714285714281,1464.285714285714,True,503.2142857142859,0.9
2025-05-04,172,Pune,maharashtra__pune,pune,1000.0,validation,moving_average_7d,957.1428571428572,746.7857142857142,1250.0,True,503.2142857142858,0.9
2025-05-04,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,707.1428571428571,496.7857142857141,1000.0,True,503.2142857142859,0.9
2025-05-04,575,Manmad,maharashtra__manmad,nashik,1100.0,validation,moving_average_7d,1128.571428571429,918.2142857142859,1421.4285714285718,True,503.2142857142859,0.9
2025-05-04,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,625.0,validation,moving_average_7d,714.2857142857143,503.92857142857133,1007.1428571428572,True,503.2142857142859,0.9
2025-05-04,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
